Parameter;Value
parset;2.4
genset;0.0
fippi;0.0
clock_speed;40.0
energy_gap_time;0.30000000000000004
trigger_peak_time;0.05
trigger_gap_time;0.0
baseline_length;512.0
trigger_threshold;150.0
baseline_threshold;120.0
energy_threshold;0.0
peak_interval_offset;0.5
peak_sample_offset;0.0
max_width;0.4
peak_mode;0.0
peak_interval;0.5
peak_sample;0.0
polarity;1.0
preamp_value;1.0
gain;4.484848
gain_trim;1.0501708984375
preset_type;0.0
preset_value;0.0
number_mca_channels;8192.0
mca_bin_width;1.0
bytes_per_bin;3.0
adc_trace_wait;0.025
auto_adjust_offset;1.0
number_of_scas;0.0
BEGIN_OF_DATA;0
0;0
1;0
2;0
3;2
4;2
5;3
6;1
7;2
8;1
9;3
10;4
11;1
12;1
13;1
14;2
15;2
16;1
17;1
18;0
19;3
20;1
21;0
22;0
23;0
24;0
25;1
26;1
27;0
28;0
29;0
30;1
31;0
32;0
33;0
34;1
35;1
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;1
51;0
52;0
53;0
54;0
55;0
56;0
57;1
58;0
59;0
60;0
61;0
62;1
63;0
64;0
65;0
66;0
67;1
68;1
69;0
70;0
71;0
72;0
73;1
74;0
75;0
76;1
77;0
78;1
79;0
80;1
81;0
82;1
83;3
84;0
85;0
86;6
87;1
88;8
89;9
90;6
91;10
92;7
93;10
94;7
95;9
96;7
97;13
98;13
99;16
100;13
101;13
102;21
103;15
104;19
105;12
106;14
107;23
108;18
109;22
110;23
111;24
112;34
113;17
114;24
115;22
116;29
117;38
118;35
119;24
120;37
121;31
122;31
123;24
124;24
125;24
126;33
127;36
128;28
129;28
130;38
131;37
132;32
133;27
134;35
135;37
136;43
137;39
138;28
139;32
140;29
141;38
142;38
143;33
144;35
145;24
146;37
147;28
148;31
149;27
150;37
151;26
152;30
153;32
154;39
155;38
156;34
157;38
158;30
159;39
160;29
161;39
162;55
163;33
164;36
165;39
166;39
167;36
168;30
169;36
170;40
171;38
172;36
173;32
174;41
175;50
176;36
177;26
178;37
179;53
180;47
181;37
182;51
183;43
184;31
185;42
186;46
187;46
188;38
189;49
190;30
191;42
192;43
193;46
194;30
195;30
196;32
197;45
198;40
199;43
200;32
201;36
202;34
203;43
204;43
205;30
206;29
207;53
208;35
209;39
210;47
211;39
212;36
213;40
214;48
215;35
216;42
217;41
218;57
219;53
220;44
221;48
222;42
223;37
224;39
225;39
226;49
227;38
228;38
229;42
230;41
231;40
232;47
233;48
234;47
235;41
236;54
237;44
238;41
239;42
240;44
241;57
242;51
243;40
244;40
245;35
246;55
247;41
248;48
249;35
250;39
251;51
252;38
253;48
254;50
255;54
256;50
257;53
258;46
259;47
260;45
261;49
262;62
263;57
264;45
265;36
266;38
267;44
268;29
269;49
270;48
271;47
272;34
273;38
274;54
275;45
276;40
277;51
278;40
279;48
280;35
281;37
282;34
283;31
284;59
285;49
286;41
287;46
288;50
289;41
290;47
291;44
292;37
293;56
294;52
295;57
296;42
297;51
298;45
299;54
300;75
301;75
302;65
303;67
304;74
305;80
306;61
307;57
308;66
309;83
310;72
311;68
312;65
313;55
314;62
315;73
316;71
317;54
318;56
319;43
320;68
321;57
322;54
323;55
324;60
325;47
326;47
327;52
328;48
329;44
330;43
331;46
332;35
333;45
334;34
335;54
336;45
337;45
338;45
339;40
340;36
341;52
342;57
343;41
344;52
345;34
346;58
347;58
348;32
349;45
350;45
351;48
352;29
353;49
354;44
355;59
356;32
357;57
358;42
359;38
360;54
361;47
362;55
363;56
364;59
365;44
366;50
367;50
368;47
369;54
370;45
371;43
372;52
373;43
374;47
375;44
376;58
377;37
378;50
379;46
380;62
381;61
382;43
383;49
384;40
385;49
386;38
387;62
388;52
389;45
390;42
391;50
392;45
393;50
394;44
395;44
396;57
397;56
398;58
399;51
400;48
401;52
402;49
403;45
404;44
405;35
406;47
407;47
408;59
409;46
410;59
411;59
412;54
413;52
414;52
415;48
416;45
417;72
418;40
419;60
420;42
421;58
422;47
423;58
424;66
425;47
426;43
427;53
428;50
429;49
430;47
431;45
432;59
433;45
434;59
435;49
436;48
437;46
438;58
439;54
440;47
441;43
442;43
443;54
444;54
445;49
446;67
447;56
448;32
449;43
450;45
451;44
452;51
453;61
454;52
455;44
456;66
457;42
458;42
459;56
460;46
461;57
462;52
463;47
464;47
465;57
466;46
467;50
468;41
469;40
470;43
471;60
472;38
473;47
474;51
475;45
476;48
477;54
478;44
479;46
480;56
481;51
482;43
483;43
484;40
485;47
486;52
487;42
488;51
489;42
490;62
491;53
492;42
493;48
494;55
495;45
496;46
497;49
498;56
499;31
500;63
501;52
502;60
503;35
504;42
505;49
506;42
507;46
508;37
509;48
510;40
511;44
512;42
513;56
514;44
515;43
516;43
517;49
